dtm,MIP,Solar_MW,Solar_installedcapacity_mwp,Solar_capacity_mwp,Wind_MW,SS_Price,boa_MWh,DA_Price
2024-01-19T00:00:00Z,51.13,0.0,2609.2005109,2448.3500868,913.04,53.0,0.0,62.03
2024-01-19T00:30:00Z,58.2,0.0,2609.2005109,2448.3500868,873.6,89.0,0.0,62.03
2024-01-19T01:00:00Z,62.67,0.0,2609.2005109,2448.3500868,1051.82,53.0,0.0,59.13
2024-01-19T01:30:00Z,56.74,0.0,2609.2005109,2448.3500868,1133.84,53.06,0.0,59.13
2024-01-19T02:00:00Z,59.45,0.0,2609.2005109,2448.3500868,1145.22,89.0,0.0,59.46
2024-01-19T02:30:00Z,57.04,0.0,2609.2005109,2448.3500868,1120.98,57.04,0.0,59.46
2024-01-19T03:00:00Z,58.47,0.0,2609.2005109,2448.3500868,1115.46,35.0,0.0,61.29
2024-01-19T03:30:00Z,59.09,0.0,2609.2005109,2448.3500868,1102.2,59.09,0.0,61.29
2024-01-19T04:00:00Z,62.33,0.0,2609.2005109,2448.3500868,1048.38,62.33,0.0,64.72
2024-01-19T04:30:00Z,59.41,0.0,2609.2005109,2448.3500868,980.22,89.0,0.0,64.72
2024-01-19T05:00:00Z,72.62,0.0,2609.2005109,2448.3500868,787.28,89.0,0.0,74.71
2024-01-19T05:30:00Z,61.52,0.0,2609.2005109,2448.3500868,494.964,51.1,0.0,74.71
2024-01-19T06:00:00Z,78.23,0.0,2609.2005109,2448.3500868,508.644,86.79,0.0,88.78
2024-01-19T06:30:00Z,81.79,0.0,2609.2005109,2448.3500868,554.884,90.0,0.0,88.78
2024-01-19T07:00:00Z,91.7,0.0,2609.2005109,2448.3500868,680.184,96.27,0.0,88.26
2024-01-19T07:30:00Z,96.51,0.0,2609.2005109,2448.3500868,749.404,98.04,0.0,88.26
2024-01-19T08:00:00Z,92.46,8.61857966,2609.2005109,2448.3500868,775.8040000000001,94.9,0.0,82.15
2024-01-19T08:30:00Z,92.87,81.62790439999999,2609.2005109,2448.3500868,786.504,103.0,0.0,82.15
2024-01-19T09:00:00Z,87.05,240.56925,2609.2005109,2448.3500868,788.284,103.0,0.0,70.94
2024-01-19T09:30:00Z,83.45,483.331055,2609.2005109,2448.3500868,772.784,94.9,0.0,70.94
2024-01-19T10:00:00Z,86.52,687.008712,2609.2005109,2448.3500868,784.924,103.0,0.0,65.44
2024-01-19T10:30:00Z,78.36,884.415238,2609.2005109,2448.3500868,785.524,74.35,0.0,65.44
2024-01-19T11:00:00Z,72.34,989.13937,2609.2005109,2448.3500868,777.344,87.32,0.0,63.64
2024-01-19T11:30:00Z,65.65,983.8043,2609.2005109,2448.3500868,789.2439999999999,55.15,0.0,63.64
2024-01-19T12:00:00Z,65.7,1004.74023,2609.2005109,2448.3500868,789.864,55.15,0.0,63.05
2024-01-19T12:30:00Z,65.14,1021.39524,2609.2005109,2448.3500868,772.784,55.15,0.0,63.05
2024-01-19T13:00:00Z,62.77,967.6596,2609.2005109,2448.3500868,769.684,55.12,0.0,67.81
2024-01-19T13:30:00Z,60.21,807.926461,2609.2005109,2448.3500868,792.2439999999999,55.2,0.0,67.81
2024-01-19T14:00:00Z,61.52,666.6695,2609.2005109,2448.3500868,792.884,55.21,0.0,69.26
2024-01-19T14:30:00Z,61.46,445.667874,2609.2005109,2448.3500868,782.904,64.95,0.0,69.26
2024-01-19T15:00:00Z,72.39,250.53498,2609.2005109,2448.3500868,782.2239999999999,71.91,0.0,81.87
2024-01-19T15:30:00Z,76.14,81.297131,2609.2005109,2448.3500868,791.8240000000001,73.26,0.0,81.87
