timestamp_utc,settlement_date,settlement_period,solar_mw,wind_offshore_mw,wind_onshore_mw
2021-01-01T00:00:00Z,2021-01-01,1,0.0,2082.297,3300.832
2021-01-01T00:30:00Z,2021-01-01,2,0.0,2082.297,3300.832
2021-01-01T01:00:00Z,2021-01-01,3,0.0,2213.217,3282.53
2021-01-01T01:30:00Z,2021-01-01,4,0.0,2213.217,3282.53
2021-01-01T02:00:00Z,2021-01-01,5,0.0,2292.82,3247.227
2021-01-01T02:30:00Z,2021-01-01,6,0.0,2292.82,3247.227
2021-01-01T03:00:00Z,2021-01-01,7,0.0,2375.637,3243.273
2021-01-01T03:30:00Z,2021-01-01,8,0.0,2375.637,3243.273
2021-01-01T04:00:00Z,2021-01-01,9,0.0,2505.07,3264.988
2021-01-01T04:30:00Z,2021-01-01,10,0.0,2505.07,3264.988
2021-01-01T05:00:00Z,2021-01-01,11,0.0,2598.307,3225.879
2021-01-01T05:30:00Z,2021-01-01,12,0.0,2598.307,3225.879
2021-01-01T06:00:00Z,2021-01-01,13,0.0,2688.413,3213.278
2021-01-01T06:30:00Z,2021-01-01,14,0.0,2688.413,3213.278
2021-01-01T07:00:00Z,2021-01-01,15,0.0,2751.4655,3161.3205
2021-01-01T07:30:00Z,2021-01-01,16,0.0,2751.4655,3161.3205
2021-01-01T08:00:00Z,2021-01-01,17,68.0,2707.611,3062.45
2021-01-01T08:30:00Z,2021-01-01,18,204.5,2707.611,3062.45
2021-01-01T09:00:00Z,2021-01-01,19,414.5,2653.6525,2855.9475
2021-01-01T09:30:00Z,2021-01-01,20,666.5,2653.6525,2855.9475
2021-01-01T10:00:00Z,2021-01-01,21,925.5,2637.218,2698.2245
2021-01-01T10:30:00Z,2021-01-01,22,1149.5,2637.218,2698.2245
2021-01-01T11:00:00Z,2021-01-01,23,1126.6666666666667,2573.435,2596.3703333333337
2021-01-01T11:30:00Z,2021-01-01,24,1172.0,2573.435,2596.3703333333337
2021-01-01T12:00:00Z,2021-01-01,25,1130.0,2568.771,2509.528333333333
2021-01-01T12:30:00Z,2021-01-01,26,1017.0,2568.771,2509.528333333333
2021-01-01T13:00:00Z,2021-01-01,27,852.0,2567.2533333333336,2474.637666666667
2021-01-01T13:30:00Z,2021-01-01,28,654.6666666666666,2567.2533333333336,2474.637666666667
2021-01-01T14:00:00Z,2021-01-01,29,444.6666666666667,2617.944,2428.880333333333
2021-01-01T14:30:00Z,2021-01-01,30,251.3333333333333,2617.944,2428.880333333333
2021-01-01T15:00:00Z,2021-01-01,31,101.66666666666669,2495.072,2329.74
2021-01-01T15:30:00Z,2021-01-01,32,12.666666666666666,2495.072,2329.74
2021-01-01T16:00:00Z,2021-01-01,33,0.0,2584.392333333333,2239.297666666667
2021-01-01T16:30:00Z,2021-01-01,34,0.0,2584.392333333333,2239.297666666667
2021-01-01T17:00:00Z,2021-01-01,35,0.0,2519.7806666666665,2178.054666666667
2021-01-01T17:30:00Z,2021-01-01,36,0.0,2519.7806666666665,2178.054666666667
2021-01-01T18:00:00Z,2021-01-01,37,0.0,2466.152,2103.3863333333334
2021-01-01T18:30:00Z,2021-01-01,38,0.0,2466.152,2103.3863333333334
2021-01-01T19:00:00Z,2021-01-01,39,0.0,2362.260333333333,2004.2183333333328
2021-01-01T19:30:00Z,2021-01-01,40,0.0,2362.260333333333,2004.2183333333328
2021-01-01T20:00:00Z,2021-01-01,41,0.0,2290.915333333333,1930.5873333333336
2021-01-01T20:30:00Z,2021-01-01,42,0.0,2290.915333333333,1930.5873333333336
2021-01-01T21:00:00Z,2021-01-01,43,0.0,2235.360333333333,1868.8536666666664
2021-01-01T21:30:00Z,2021-01-01,44,0.0,2235.360333333333,1868.8536666666664
2021-01-01T22:00:00Z,2021-01-01,45,0.0,2066.0403333333334,1784.497
2021-01-01T22:30:00Z,2021-01-01,46,0.0,2066.0403333333334,1784.497
2021-01-01T23:00:00Z,2021-01-01,47,0.0,1917.741,1707.924
2021-01-01T23:30:00Z,2021-01-01,48,0.0,1917.741,1707.924
2021-01-02T00:00:00Z,2021-01-02,1,0.0,1927.762,1762.48
2021-01-02T00:30:00Z,2021-01-02,2,0.0,1927.762,1762.48
2021-01-02T01:00:00Z,2021-01-02,3,0.0,1974.428,1745.018
2021-01-02T01:30:00Z,2021-01-02,4,0.0,1974.428,1745.018
2021-01-02T02:00:00Z,2021-01-02,5,0.0,2129.048,1747.127
2021-01-02T02:30:00Z,2021-01-02,6,0.0,2129.048,1747.127
2021-01-02T03:00:00Z,2021-01-02,7,0.0,2289.491,1786.624
2021-01-02T03:30:00Z,2021-01-02,8,0.0,2289.491,1786.624
2021-01-02T04:00:00Z,2021-01-02,9,0.0,2554.298,1846.313
2021-01-02T04:30:00Z,2021-01-02,10,0.0,2554.298,1846.313
2021-01-02T05:00:00Z,2021-01-02,11,0.0,2810.44,1865.643
2021-01-02T05:30:00Z,2021-01-02,12,0.0,2810.44,1865.643
2021-01-02T06:00:00Z,2021-01-02,13,0.0,2971.486,1861.531
2021-01-02T06:30:00Z,2021-01-02,14,0.0,2971.486,1861.531
2021-01-02T07:00:00Z,2021-01-02,15,0.0,2934.1705,1802.9795
2021-01-02T07:30:00Z,2021-01-02,16,0.0,2934.1705,1802.9795
2021-01-02T08:00:00Z,2021-01-02,17,81.5,2846.521,1735.179
2021-01-02T08:30:00Z,2021-01-02,18,320.5,2846.521,1735.179
2021-01-02T09:00:00Z,2021-01-02,19,772.0,2595.319,1659.0975
2021-01-02T09:30:00Z,2021-01-02,20,1296.0,2595.319,1659.0975
2021-01-02T10:00:00Z,2021-01-02,21,1740.0,2389.8675000000003,1614.726
2021-01-02T10:30:00Z,2021-01-02,22,2104.0,2389.8675000000003,1614.726
2021-01-02T11:00:00Z,2021-01-02,23,2280.0,2295.3953333333334,1603.622
2021-01-02T11:30:00Z,2021-01-02,24,2409.333333333333,2295.3953333333334,1603.622
